['d3', 'dc3', 'open', 'GPIO18', 'horizontal', '2018/7/6 13:41:20']
['d3', 'dc3', 'open', 'GPIO18', 'horizontal', '2018/7/6 13:43:36']
['d3', 'dc3', 'closed', 'GPIO18', 'horizontal', '2018/7/6 13:43:36']
['d3', 'dc3', 'open', 'GPIO18', 'horizontal', '2018/7/6 13:43:37']
['d3', 'dc3', 'closed', 'GPIO18', 'horizontal', '2018/7/6 13:43:37']
['d3', 'dc3', 'open', 'GPIO18', 'horizontal', '2018/7/6 13:43:38']
['d3', 'dc3', 'closed', 'GPIO18', 'horizontal', '2018/7/6 13:43:38']
['d3', 'dc3', 'open', 'GPIO18', 'horizontal', '2018/7/6 13:43:38']
['d3', 'dc3', 'closed', 'GPIO18', 'horizontal', '2018/7/6 13:44:26']
['d3', 'dc3', 'open', 'GPIO18', 'horizontal', '2018/7/6 13:44:26']
['d3', 'dc3', 'closed', 'GPIO18', 'horizontal', '2018/7/6 13:44:26']
['d3', 'dc3', 'open', 'GPIO18', 'horizontal', '2018/7/6 13:44:27']
